Structure of Structure [idcode],Structure,Molecular Formula,OSM ID,MMV ID,PubChem ID Links,PubChem ID,ChEMBL Molecule ID Links,ChEMBL Molecule ID,Internal ID,Series,InChI,InChI-Key,PfaI EC50 (Inh),Pfal IC50 (GSK),Pfal IC50 (Syngene),Pfal IC50 (Dundee),Pfal (3D7) IC50 (Broad),Pfal (Dd2) IC50 (Broad),PfaI EC50 uMol (Mean) Qualifier,PfaI EC50 uMol (Mean),Single Shot Inhibition %,PfATP4 'Test Set',Ion Regulation (ANU),Pb Liver Stage,Cytotox HepG2,Cytotox THP1,hERG pIC50,t1/2 HLM (Monash),t1/2 HLM (Inh),t1/2 MLM (Monash),t1/2 RLM (Inh),t1/2 RLM (Monash),t1/2 HCH (Monash),t1/2 RCH (Monash),CLint HLM (Monash),CLint HLM (Inh),CLint MLM (Monash),CLint RLM (Inh),CLint RLM (Monash),CLint HCH (Monash),CLint RCH (Monash),EH H M'some (Monash),EH M M'some (Monash),EH R M'some (Monash),EH H H'cyte (Monash),EH R H'cyte (Monash),LogD 3.0 (Monash),LogD 7.4 (Monash),Sol 2.0 ug/mL (Monash),Sol 6.5 ug/mL (Monash),Sol 6.8 uM (Inh),Sol 7.4 uM (Inh),cPPB % (Monash),CL Rat (Inh),Vss Rat (Inh),T1/2 Rat (Inh),Tmax Rat (Inh),Oral F Rat (Inh),Dofetilide (Inh),Cerep (Inh),Vivo NOD/SCID ED90,Vivo Parasit Cl,"Aldehyde Oxidase CLint,app (?L/min/mg)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fnsha@MFlenB`dDRBS[J{KZ{XiV]EMT@DuUTtL@@,FC(F)OC(C=C1)=CC=C1C2=NN=C3CN(C(CN)=O)CCN32,C14H15F2N5O2,OSM-X-077,MMV668962,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/76318580"">76318580</a> ",76318580,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137579"">CHEMBL3137579</a>",CHEMBL3137579,INHERITED,4,"InChI=1S/C14H15F2N5O2/c15-14(16)23-10-3-1-9(2-4-10)13-19-18-11-8-20(12(22)7-17)5-6-21(11)13/h1-4,14H,5-8,17H2",OUDHTFLYUDWELS-UHFFFAOYSA-N,10,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edZRDC@MCKBl@`IABPFhIjAZ`vhCjBz`^hOj@F`ahDfvUvVyWvUUUDdl|RJAaj`@fjfjjjjjEhFb@G|HMYu`,FC(OC1=CC=C(C2=NN=C3C=NC=C(N32)OCC[C]4[CH]BBBBBBBBBB4)C=C1)F,C16H24N4O2B10F2,OSM-S-418,MMV1576784,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162393112"">162393112</a>",162393112,Not in ChEMBL,Not in ChEMBL,EGT 257-1,4,"InChI=1S/C16H23B10F2N4O2/c27-16(28)34-12-3-1-10(2-4-12)15-31-30-13-8-29-9-14(32(13)15)33-6-5-11-7-17-19-21-23-25-26-24-22-20-18-11/h1-4,7-9,11,16-26H,5-6H2/t11-/m0/s1",ARJLERMARRPHEQ-NSHDSACASA-N,,,,0.05,,,,0.05,,,,,10,,5.44,7,,<2,,,,85,249,,>866,,,,4,0.91,>0.94,,,0.23,,4.4,1.6-3.1,<1.6,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fewha@CAbgJi`dBRFQQQYYIQQJJFEIg@ecd\xHBjfifjhZ@@,c1cc(c(cc1CCOc2cncc3n2c(nn3)N4CCOCC4)F)F,C17H17N5O2F2,OSM-S-517,MMV1579337,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345729"">162345729</a>",162345729,Not in ChEMBL,Not in ChEMBL,MK008-20,4,"InChI=1S/C17H17F2N5O2/c18-13-2-1-12(9-14(13)19)3-6-26-16-11-20-10-15-21-22-17(24(15)16)23-4-7-25-8-5-23/h1-2,9-11H,3-8H2",BBKXHWRASNHAOR-UHFFFAOYSA-N,,,,>19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fewHa@MFlW@PRBIAIme]enU{TTk^RT\zh@Ijij@@T@@,c1ccc(cc1)Oc2cncc3n2c(nn3)c4ccc(cc4)OC(F)F,C18H12N4O2F2,OSM-S-579,MMV1581345,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345742"">162345742</a>",162345742,Not in ChEMBL,Not in ChEMBL,EGT 354-1,4,"InChI=1S/C18H12F2N4O2/c19-18(20)26-14-8-6-12(7-9-14)17-23-22-15-10-21-11-16(24(15)17)25-13-4-2-1-3-5-13/h1-11,18H",UTIUAZFJLHTVFG-UHFFFAOYSA-N,,,,>25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmoHc@IV\GgPADyA\adbbvRbbTTLJVRfJVbxMVtsUMSL@EUL@@@,c1cc(sc1)CCOc2cncc3n2c(nn3)c4ccc(cc4)OC(F)F,C18H14N4O2F2S,OSM-S-608,MMV1634428,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345745"">162345745</a>",162345745,Not in ChEMBL,Not in ChEMBL,MK149-1a,4,"InChI=1S/C18H14F2N4O2S/c19-18(20)26-13-5-3-12(4-6-13)17-23-22-15-10-21-11-16(24(15)17)25-8-7-14-2-1-9-27-14/h1-6,9-11,18H,7-8H2",RMZMYNQAPRIYLW-UHFFFAOYSA-N,,,,0.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
