OSM Number,Batch,Internal ID,,PubChem CID,MMV ID,SMILES,InChI,IChI Key,Series,Assays,PfaI EC50 (Inh),Pfal IC50 (GSK),Pfal IC50 (Syngene),Pfal IC50 (Dundee),0,Pfal (K1) IC50 (Avery),Pfal IC50 (Ralph),Pfal IC50 (Guy),Pfal (K1) IC50 (Guy),Pfal IC50 (Batra),Pfal (K1) IC50 (Batra),Pfal (3D7) IC50 (Broad),Pfal (Dd2) IC50 (Broad),PfaI EC50 uMol (Mean) Qualifier,PfaI EC50 uMol (Mean),Single Shot Inhibition %,PRR (Rate of Killing),PfATP4 'Test Set',Ion Regulation (ANU),DHODH,Late Stage Gametocyte (Avery),Pb Liver Stage,Cytotox HepG2,Cytotox HEK293 (120),Cytotox HEK293 (40),Cytotox Vero MTT,Cytotox THP1,hERG pIC50,t1/2 HLM (Monash),t1/2 HLM (Inh),t1/2 MLM (Monash),t1/2 RLM (Inh),t1/2 RLM (Monash),t1/2 HCH (Monash),t1/2 RCH (Monash),t1/2 plasma Human,t1/2 plasma Mouse,CLint HLM (Monash),%remain plasma Human,%remain plasma Mouse,CLint HLM (Inh),CLint MLM (Monash),CLint RLM (Inh),CLint RLM (Monash),CLint HCH (Monash),CLint RCH (Monash),EH H M'some (Monash),EH M M'some (Monash),EH R M'some (Monash),EH H H'cyte (Monash),EH R H'cyte (Monash),LogD 3.0 (Monash),LogD 7.4 (Monash),Sol 2.0 ug/mL (Monash),Sol 6.5 ug/mL (Monash),Sol 6.8 uM (Inh),Sol 7.4 uM (Inh),cPPB % (Monash),CL Rat (Inh),Vss Rat (Inh),T1/2 Rat (Inh),Tmax Rat (Inh),Oral F Rat (Inh),Dofetilide (Inh),Cerep (Inh),Vivo NOD/SCID ED90,Vivo Berghei %activity,Vivo Parasit Cl,"Aldehyde Oxidase
 CLint,app (µL/min/mg)"
OSM-A-1,,,,1233035,,O=C(/C(S/1)=C/C2=C(C)N(C(C)=C2)C3=CC=C(S(=O)(N)=O)C=C3)NC1=N\C4=CC=CC=C4,"InChI=1S/C22H20N4O3S2/c1-14-12-16(15(2)26(14)18-8-10-19(11-9-18)31(23,28)29)13-20-21(27)25-22(30-20)24-17-6-4-3-5-7-17/h3-13H,1-2H3,(H2,23,28,29)(H,24,25,27)/b20-13-",ODRSSOQWOHNABY-MOSHPQCFSA-N,1,,,,,,,,,3.05,4.379,,,,,,3.7145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-A-10,,,,,,O=C([H])C1=C(C)N(C(C)=C1)C2=CC(OC)=CC=C2,"InChI=1S/C14H15NO2/c1-10-7-12(9-16)11(2)15(10)13-5-4-6-14(8-13)17-3/h4-9H,1-3H3",XTPVHYRCFNPCRL-UHFFFAOYSA-N,1,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-A-11,,,,,,IC1=CC=C(N2C(C)=CC=C2C)C=C1,"InChI=1S/C12H12IN/c1-9-3-4-10(2)14(9)12-7-5-11(13)6-8-12/h3-8H,1-2H3",CLGKGHWNVMDYQB-UHFFFAOYSA-N,1,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-A-12,,,,,,IC1=CC=C(N2C(C)=CC(C([H])=O)=C2C)C=C1,"InChI=1S/C13H12INO/c1-9-7-11(8-16)10(2)15(9)13-5-3-12(14)4-6-13/h3-8H,1-2H3",SSNYMKCLPCTDEB-UHFFFAOYSA-N,1,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-A-2,,,,,,O=C(/C(S/1)=C/C2=C(C)N(C(C)=C2)C3=CC=C(C#N)C=C3)NC1=N\C4=CC=CC=C4,"InChI=1S/C23H18N4OS/c1-15-12-18(16(2)27(15)20-10-8-17(14-24)9-11-20)13-21-22(28)26-23(29-21)25-19-6-4-3-5-7-19/h3-13H,1-2H3,(H,25,26,28)/b21-13-",LXPLFPVISCVJSC-BKUYFWCQSA-N,1,,,,,,,,,0.574,1.829,,,,,,1.2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-A-3,,,,,,O=C(/C(S/1)=C/C2=C(C)N(C(C)=C2)C3=CC=C(I)C=C3)NC1=N\C4=CC=CC=C4,"InChI=1S/C23H21N3O2S/c1-15-12-17(16(2)26(15)19-10-7-11-20(14-19)28-3)13-21-22(27)25-23(29-21)24-18-8-5-4-6-9-18/h4-14H,1-3H3,(H,24,25,27)/b21-13-",QRGVMORNNJFJKZ-BKUYFWCQSA-N,1,,,,,,,,,0.098,0.14,,,,,,0.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-A-4,,,,,,,"InChI=1S/C22H18IN3OS/c1-14-12-16(15(2)26(14)19-10-8-17(23)9-11-19)13-20-21(27)25-22(28-20)24-18-6-4-3-5-7-18/h3-13H,1-2H3,(H,24,25,27)/b20-13-",LZWDTKNFRNEIKZ-MOSHPQCFSA-N,1,,,,,,,,,1.745,3.162,,,,,,2.4535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-A-5,,,,,,CC1=CC=C(C)N1C2=CC=C(S(=O)(N)=O)C=C2,"InChI=1S/C12H14N2O2S/c1-9-3-4-10(2)14(9)11-5-7-12(8-6-11)17(13,15)16/h3-8H,1-2H3,(H2,13,15,16)",STHWURXTZRCILS-UHFFFAOYSA-N,1,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-A-6,,,,,,O=C([H])C1=C(C)N(C(C)=C1)C2=CC=C(S(N)=O)C=C2,"InChI=1S/C13H14N2O2S/c1-9-7-11(8-16)10(2)15(9)12-3-5-13(6-4-12)18(14)17/h3-8H,14H2,1-2H3",JYZXFZAZSQBBQH-UHFFFAOYSA-N,1,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-A-7,,,,,,CC1=CC=C(C)N1C2=CC=C(C#N)C=C2,"InChI=1S/C13H12N2/c1-10-3-4-11(2)15(10)13-7-5-12(9-14)6-8-13/h3-8H,1-2H3",FNDFKQYZEDOHRC-UHFFFAOYSA-N,1,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-A-8,,,,,,O=C([H])C1=C(C)N(C(C)=C1)C2=CC=C(C#N)C=C2,"InChI=1S/C14H12N2O/c1-10-7-13(9-17)11(2)16(10)14-5-3-12(8-15)4-6-14/h3-7,9H,1-2H3",AZYQCNIOZJETFM-UHFFFAOYSA-N,1,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-A-9,,,,,,CC1=CC=C(C)N1C2=CC(OC)=CC=C2,"InChI=1S/C13H15NO/c1-10-7-8-11(2)14(10)12-5-4-6-13(9-12)15-3/h4-9H,1-3H3",GVGRVGMGPYDHOB-UHFFFAOYSA-N,1,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-E-1,,PT-1-10 ,,57519183,,FC1=CC=C(N2C(C)=CC(S(N(C)CC(N)=O)(=O)=O)=C2C)C=C1,"InChI=1S/C15H18FN3O3S/c1-10-8-14(23(21,22)18(3)9-15(17)20)11(2)19(10)13-6-4-12(16)5-7-13/h4-8H,9H2,1-3H3,(H2,17,20)",KRDORFFFZGUMFF-UHFFFAOYSA-N,1,,,,,>50,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-E-10,,PT-1-6; PT-1-7; PT-1-8; PT-1-9,,,,FC1=CC=C(N2C(C)=CC(S(N(C)CC(OC)=O)(=O)=O)=C2C)C=C1,"InChI=1S/C16H19FN2O4S/c1-11-9-15(24(21,22)18(3)10-16(20)23-4)12(2)19(11)14-7-5-13(17)6-8-14/h5-9H,10H2,1-4H3",LIADENKDGVSTCO-UHFFFAOYSA-N,1,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-E-11,,PT-1-11,,,,FC1=CC=C(N2C(C)=CC(S(N([H])CC(OC)=O)(=O)=O)=C2C)C=C1,"InChI=1S/C15H17FN2O4S/c1-10-8-14(23(20,21)17-9-15(19)22-3)11(2)18(10)13-6-4-12(16)5-7-13/h4-8,17H,9H2,1-3H3",MAMSLIRHTVGOCI-UHFFFAOYSA-N,1,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-E-12,,PT-1-4,,,,FC1=CC=C(N2C(C)=CC(S([O-])(=O)=O)=C2C)C=C1.[H][N+]3=CC=CC=C3,"InChI=1S/C12H12FNO3S.C5H5N/c1-8-7-12(18(15,16)17)9(2)14(8)11-5-3-10(13)4-6-11;1-2-4-6-5-3-1/h3-7H,1-2H3,(H,15,16,17);1-5H",GVWFBFKDWILLTG-UHFFFAOYSA-N,1,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
